# Top-200 coordinates for heatmap_norm_share_text heatmap (layer, head, value)
layer=24, head=13, value=0.021378
layer=0, head=2, value=0.021323
layer=16, head=9, value=0.021135
layer=21, head=11, value=0.020956
layer=7, head=12, value=0.020741
layer=8, head=2, value=0.020559
layer=14, head=6, value=0.020426
layer=20, head=8, value=0.020293
layer=22, head=4, value=0.020278
layer=24, head=5, value=0.020196
layer=22, head=9, value=0.020193
layer=24, head=11, value=0.020166
layer=9, head=5, value=0.020066
layer=26, head=4, value=0.019635
layer=24, head=14, value=0.019479
layer=14, head=7, value=0.019313
layer=0, head=0, value=0.018729
layer=9, head=13, value=0.018616
layer=12, head=8, value=0.018557
layer=18, head=13, value=0.018332
layer=16, head=12, value=0.018324
layer=2, head=3, value=0.018075
layer=24, head=10, value=0.018036
layer=1, head=15, value=0.017862
layer=23, head=0, value=0.017264
layer=8, head=3, value=0.017030
layer=24, head=6, value=0.016640
layer=8, head=14, value=0.016379
layer=7, head=15, value=0.016096
layer=23, head=15, value=0.015839
layer=12, head=9, value=0.015745
layer=2, head=11, value=0.015559
layer=25, head=10, value=0.015521
layer=19, head=12, value=0.015497
layer=16, head=8, value=0.015411
layer=16, head=0, value=0.015303
layer=14, head=0, value=0.015249
layer=8, head=13, value=0.015043
layer=1, head=1, value=0.014579
layer=6, head=15, value=0.014481
layer=20, head=6, value=0.014381
layer=8, head=8, value=0.014377
layer=20, head=7, value=0.014103
layer=7, head=4, value=0.014081
layer=25, head=14, value=0.014055
layer=7, head=0, value=0.013982
layer=8, head=4, value=0.013909
layer=2, head=9, value=0.013820
layer=18, head=7, value=0.013707
layer=1, head=10, value=0.013578
layer=19, head=3, value=0.012923
layer=2, head=12, value=0.012825
layer=9, head=0, value=0.012758
layer=24, head=15, value=0.012561
layer=19, head=2, value=0.012506
layer=17, head=9, value=0.012352
layer=23, head=4, value=0.012327
layer=1, head=14, value=0.012180
layer=14, head=3, value=0.012046
layer=10, head=11, value=0.011999
layer=27, head=1, value=0.011967
layer=16, head=5, value=0.011962
layer=27, head=14, value=0.011794
layer=24, head=3, value=0.011787
layer=25, head=6, value=0.011728
layer=7, head=11, value=0.011597
layer=16, head=6, value=0.011572
layer=21, head=15, value=0.011485
layer=13, head=7, value=0.011354
layer=10, head=1, value=0.011327
layer=22, head=14, value=0.011306
layer=10, head=15, value=0.011205
layer=5, head=13, value=0.011119
layer=22, head=13, value=0.010985
layer=18, head=15, value=0.010959
layer=8, head=12, value=0.010935
layer=25, head=4, value=0.010884
layer=3, head=0, value=0.010867
layer=8, head=15, value=0.010792
layer=6, head=11, value=0.010756
layer=24, head=12, value=0.010631
layer=19, head=0, value=0.010161
layer=23, head=1, value=0.010063
layer=7, head=2, value=0.010045
layer=11, head=8, value=0.010014
layer=9, head=7, value=0.010005
layer=9, head=14, value=0.009797
layer=22, head=11, value=0.009792
layer=19, head=7, value=0.009714
layer=11, head=15, value=0.009708
layer=23, head=12, value=0.009681
layer=24, head=9, value=0.009677
layer=21, head=8, value=0.009610
layer=8, head=1, value=0.009533
layer=4, head=12, value=0.009525
layer=19, head=6, value=0.009504
layer=25, head=11, value=0.009355
layer=25, head=7, value=0.009335
layer=7, head=10, value=0.009331
